"","date","frequency","y","m","d","date2","dow"
"1","01012011",20,2011,1,1,2011-01-01,"Saturday"
"2","01012012",37,2012,1,1,2012-01-01,"Sunday"
"3","01012013",79,2013,1,1,2013-01-01,"Tuesday"
"4","01012014",49,2014,1,1,2014-01-01,"Wednesday"
"5","01022010",1,2010,2,1,2010-02-01,"Monday"
"6","01022011",20,2011,2,1,2011-02-01,"Tuesday"
"7","01022012",50,2012,2,1,2012-02-01,"Wednesday"
"8","01022013",51,2013,2,1,2013-02-01,"Friday"
"9","01022014",41,2014,2,1,2014-02-01,"Saturday"
"10","01032011",34,2011,3,1,2011-03-01,"Tuesday"
"11","01032012",46,2012,3,1,2012-03-01,"Thursday"
"12","01032013",61,2013,3,1,2013-03-01,"Friday"
"13","01032014",41,2014,3,1,2014-03-01,"Saturday"
"14","01042011",41,2011,4,1,2011-04-01,"Friday"
"15","01042012",25,2012,4,1,2012-04-01,"Sunday"
"16","01042013",59,2013,4,1,2013-04-01,"Monday"
"17","01042014",30,2014,4,1,2014-04-01,"Tuesday"
"18","01052010",1,2010,5,1,2010-05-01,"Saturday"
"19","01052011",42,2011,5,1,2011-05-01,"Sunday"
"20","01052012",68,2012,5,1,2012-05-01,"Tuesday"
"21","01052013",85,2013,5,1,2013-05-01,"Wednesday"
"22","01062010",8,2010,6,1,2010-06-01,"Tuesday"
"23","01062011",41,2011,6,1,2011-06-01,"Wednesday"
"24","01062012",58,2012,6,1,2012-06-01,"Friday"
"25","01062013",65,2013,6,1,2013-06-01,"Saturday"
"26","01072010",7,2010,7,1,2010-07-01,"Thursday"
"27","01072011",51,2011,7,1,2011-07-01,"Friday"
"28","01072012",47,2012,7,1,2012-07-01,"Sunday"
"29","01072013",76,2013,7,1,2013-07-01,"Monday"
"30","01082010",1,2010,8,1,2010-08-01,"Sunday"
"31","01082011",40,2011,8,1,2011-08-01,"Monday"
"32","01082012",79,2012,8,1,2012-08-01,"Wednesday"
"33","01082013",80,2013,8,1,2013-08-01,"Thursday"
"34","01092009",1,2009,9,1,2009-09-01,"Tuesday"
"35","01092010",4,2010,9,1,2010-09-01,"Wednesday"
"36","01092011",49,2011,9,1,2011-09-01,"Thursday"
"37","01092012",51,2012,9,1,2012-09-01,"Saturday"
"38","01092013",94,2013,9,1,2013-09-01,"Sunday"
"39","01102010",4,2010,10,1,2010-10-01,"Friday"
"40","01102011",27,2011,10,1,2011-10-01,"Saturday"
"41","01102012",80,2012,10,1,2012-10-01,"Monday"
"42","01102013",77,2013,10,1,2013-10-01,"Tuesday"
"43","01112010",7,2010,11,1,2010-11-01,"Monday"
"44","01112011",46,2011,11,1,2011-11-01,"Tuesday"
"45","01112012",61,2012,11,1,2012-11-01,"Thursday"
"46","01112013",78,2013,11,1,2013-11-01,"Friday"
"47","01122010",17,2010,12,1,2010-12-01,"Wednesday"
"48","01122011",54,2011,12,1,2011-12-01,"Thursday"
"49","01122012",49,2012,12,1,2012-12-01,"Saturday"
"50","01122013",34,2013,12,1,2013-12-01,"Sunday"
"51","02012011",17,2011,1,2,2011-01-02,"Sunday"
"52","02012012",22,2012,1,2,2012-01-02,"Monday"
"53","02012013",49,2013,1,2,2013-01-02,"Wednesday"
"54","02012014",43,2014,1,2,2014-01-02,"Thursday"
"55","02022011",4,2011,2,2,2011-02-02,"Wednesday"
